"","time","device_id","s_0","s_1","s_2","s_3","s_d0","s_t0","s_h0"
"226",2017-10-13 22:27:24,"781463DA0149A177",0,100,1,0,8,26.14,87
"227",2017-10-13 22:27:24,"781463DA0149DBFF",0,100,1,0,10,25.5,89
"228",2017-10-13 22:27:25,"781463DA0104F689",0,100,1,0,11,27.47,81
"229",2017-10-13 22:27:26,"28C2DDDD4394",0,100,1,0,6,32,77
"230",2017-10-13 22:27:27,"781463DA0104F797",0,100,1,0,12,26.95,82
"231",2017-10-13 22:27:31,"28C2DDDD45E7",0,100,1,0,2,31.62,82
"232",2017-10-13 22:27:32,"781463DA0104F6A9",0,100,1,0,12,26.65,84
"233",2017-10-13 22:27:36,"28C2DDDD4003",0,100,1,0,1,28,100
"234",2017-10-13 22:27:43,"781463DA0104F417",0,100,1,0,13,26.56,85
"235",2017-10-13 22:27:44,"781463DA0149A43B",0,100,1,0,8,26.77,84
"236",2017-10-13 22:27:46,"781463DA0104F2C0",0,100,1,0,17,27.73,81
"237",2017-10-13 22:27:47,"781463DA0104F70A",0,100,1,0,10,27.59,81
"238",2017-10-13 22:27:52,"781463DA0149A515",0,100,1,0,22,26.06,87
"239",2017-10-13 22:28:02,"781463DA014AABE1",0,100,1,0,15,27.24,83
"240",2017-10-13 22:28:04,"781463DA0104F657",0,100,1,0,0,26.05,87
"241",2017-10-13 22:28:07,"781463DA0104F787",0,100,1,0,0,29.26,76
"242",2017-10-13 22:28:09,"781463DA0149ABAC",0,100,1,0,18,26.26,85
"243",2017-10-13 22:28:10,"28C2DDDD4423",0,100,1,0,3,27.62,100
"244",2017-10-13 22:28:13,"781463DA0104F624",0,100,1,0,15,27.36,82
"245",2017-10-13 22:28:16,"781463DA0149B198",0,100,1,0,14,27.69,80
"246",2017-10-13 22:28:17,"781463DA0149AD11",0,100,1,0,13,28.9,77
"247",2017-10-13 22:28:20,"781463DA0104F38D",0,100,1,0,8,29.75,74
"248",2017-10-13 22:28:23,"781463DA0104F314",0,100,1,0,11,26.32,80
"249",2017-10-13 22:28:25,"781463DA0104F38E",0,100,1,0,21,27.17,82
"250",2017-10-13 22:28:25,"781463DA0149A7F0",0,100,1,0,10,27.67,81
"251",2017-10-13 22:28:28,"781463DA0149A78F",0,100,1,0,14,26,88
"252",2017-10-13 22:28:29,"28C2DDDD415C",0,100,1,0,12,28.25,100
"253",2017-10-13 22:28:32,"781463DA0149A45F",0,100,1,0,6,24.6,91
"254",2017-10-13 22:28:33,"781463DA014AABE1",0,100,1,0,14,27.24,83
"255",2017-10-13 22:28:37,"28C2DDDD434A",0,100,1,0,1,29.87,104
"256",2017-10-13 22:28:39,"781463DA0104F429",0,100,1,0,6,24.98,88
"257",2017-10-13 22:28:40,"28C2DDDD47CC",0,100,1,0,1,27.12,100
"258",2017-10-13 22:28:43,"781463DA0104F20E",0,100,1,0,20,28.97,77
"259",2017-10-13 22:28:48,"28C2DDDD423E",0,100,1,0,4,27.75,136
"260",2017-10-13 22:28:49,"781463DA0104F620",0,100,1,0,19,26.59,84
"261",2017-10-13 22:28:50,"28C2DDDD3FFA",0,100,1,0,6,27.37,100
"262",2017-10-13 22:28:50,"781463DA0104F3E4",0,100,1,0,15,26.58,83
"263",2017-10-13 22:28:50,"781463DA0104F6A5",0,100,1,0,13,27.17,81
"264",2017-10-13 22:28:50,"781463DA0104F77D",0,100,1,0,10,26.79,83
"265",2017-10-13 22:28:50,"781463DA0149A472",0,100,1,0,22,27.24,83
"266",2017-10-13 22:28:50,"781463DA0149AF90",0,100,1,0,17,25.21,87
"267",2017-10-13 22:28:50,"781463DA0149AFDB",0,100,1,0,18,27.07,82
"268",2017-10-13 22:28:50,"781463DA0149B1A1",0,100,1,0,18,28.62,76
"269",2017-10-13 22:28:50,"781463DA014AA885",0,100,1,0,21,26.89,83
"270",2017-10-13 22:29:01,"28C2DDDD4599",0,100,1,0,8,28.37,100
"271",2017-10-13 22:29:06,"781463DA014AABE1",0,100,1,0,14,27.25,83
"272",2017-10-13 22:29:09,"781463DA0104F284",0,100,1,0,47,24.04,94
"273",2017-10-13 22:29:10,"781463DA0104F43D",0,100,1,0,7,27.63,82
"274",2017-10-13 22:29:12,"28C2DDDD423A",0,100,1,0,3,30.25,88
"275",2017-10-13 22:29:31,"28C2DDDD4377",0,100,1,0,1,28.62,125
"276",2017-10-13 22:29:37,"781463DA014AABE1",0,100,1,0,14,27.28,83
"277",2017-10-13 22:29:40,"28C2DDDD4159",0,100,1,0,1,29.12,91
"278",2017-10-13 22:29:40,"28C2DDDD4519",0,100,1,0,2,29,70
"279",2017-10-13 22:29:41,"28C2DDDD4583",0,100,1,0,2,32.25,78
"280",2017-10-13 22:30:02,"28C2DDDD4180",0,100,1,0,4,28,96
"281",2017-10-13 22:30:08,"781463DA014AABE1",0,100,1,0,14,27.28,83
"282",2017-10-13 22:30:15,"781463DA0104F278",0,100,1,0,18,27.66,80
"283",2017-10-13 22:30:15,"781463DA0104F3EA",0,100,1,0,16,27.89,78
"284",2017-10-13 22:30:15,"781463DA0104F695",0,100,1,0,14,25.56,89
"285",2017-10-13 22:30:16,"781463DA0149A786",0,100,1,0,24,26.08,87
"286",2017-10-13 22:30:16,"781463DA0149B1EF",0,100,1,0,17,25.99,86
"287",2017-10-13 22:30:18,"781463DA0149ABD3",0,100,1,0,0,26.11,59
"288",2017-10-13 22:30:21,"28C2DDDD40E0",0,100,1,0,14,31.5,80
"289",2017-10-13 22:30:22,"781463DA0149B3AD",0,100,1,0,19,25.33,90
"290",2017-10-13 22:30:23,"781463DA0104F34A",0,100,1,0,16,27.64,81
"291",2017-10-13 22:30:24,"781463DA0104F4E6",0,100,1,0,3,24.33,75
"292",2017-10-13 22:30:24,"781463DA0104F566",0,100,1,0,9,26.44,85
"293",2017-10-13 22:30:24,"781463DA0149A7BC",0,100,1,0,7,26.4,85
"294",2017-10-13 22:30:24,"781463DA0149B1C4",0,100,1,0,18,26.34,84
"295",2017-10-13 22:30:25,"28C2DDDD4378",0,100,1,0,1,30,93
"296",2017-10-13 22:30:25,"781463DA0149DBFF",0,100,1,0,10,25.5,89
"297",2017-10-13 22:30:26,"781463DA0104F689",0,100,1,0,11,27.44,81
"298",2017-10-13 22:30:26,"781463DA0149A177",0,100,1,0,11,26.11,87
"299",2017-10-13 22:30:28,"781463DA0104F797",0,100,1,0,12,26.93,82
"300",2017-10-13 22:30:30,"28C2DDDD459C",0,100,1,0,4,28.25,100
"301",2017-10-13 22:30:33,"781463DA0104F6A9",0,100,1,0,9,26.63,84
"302",2017-10-13 22:30:38,"28C2DDDD4305",0,100,1,0,2,29.75,100
"303",2017-10-13 22:30:48,"781463DA0104F2C0",0,100,1,0,12,27.71,81
